Course/exam,TermCD,SchoolYear,CourseSchoolDBN,Table,CourseTitle,Mark,Mark,NumericEquivalent,Credits,CreditEarned,CreditEarned,Term Average Display,Credits Total,Credit Earned Total,Credits Average,StudentID,Credits Total,Credit Earned Total,Cumulative Term Average1,Credits Average
Course,2,2018,30Q258,EEW11,TRANSFER ENGLISH YR ,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,EEW22,TRANSFER ENGLISH YR ,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,FQW31,TRANSFER FOREIGN LAN,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,FQW32,TRANSFER FOREIGN LAN,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,FSS62,SPANISH I  2 OF 2,66, ,66,1,0,1,,,,,,,,,
Course,2,2018,30Q258,HQW11,TRANSFER SOC STU ELE,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,MEW11,TRANSFER INT ALGEBRA,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,MRS22,ALGEBRA 2 / TRIG 2 O,55, ,55,1,0,0,,,,,,,,,
Course,2,2018,30Q258,MRW11,TRANSFER ALG2/TRIG Y,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,PHS11,HEALTH,55, ,55,1,0,0,,,,,,,,,
Course,2,2018,30Q258,PPS86,PHYS ED,73, ,73,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,PPW11,TRANSFER PHYS ED,CR,*,,1,0,1,,,,,,,,,
Course,2,2018,30Q258,RQS42T,College and Career F,72, ,72,0.5,0,0.5,,,,,,,,,
Course,2,2018,30Q258,RQW11,TRANSFER CAREER,CR,*,,1,0,1,,,,,,,,,
Course,2,2018,30Q258,SCW11,TRANSFER CHEMISTRY Y,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,SCW11QL,TRANSFER CHEMISTRY L,P,*,,0,0,0,,,,,,,,,
Course,2,2018,30Q258,SLS22,LIVING ENV 2 OF 2,65, ,65,1,0,1,,,,,,,,,
Course,2,2018,30Q258,SLS22QL,LIVING ENV LAB 2 OF ,P,*,,0,0,0,,,,,,,,,
Course,2,2018,30Q258,SLW11,TRANSFER LIVING ENV ,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,SLW11QL,TRANSFER LIVING ENV ,P,*,,0,0,0,,,,,,,,,
Course,2,2018,30Q258,SPW11,TRANSFER PHYSICS YR ,CR,*,,2,0,2,,,,,,,,,
Course,2,2018,30Q258,SPW11QL,TRANSFER PHYSICS LAB,P,*,,0,0,0,,,,,,,,,
Course,2,2018,30Q258,TQW11,TRANSFER TECH,CR,*,,1,0,1,60.5,30,26,7,,,,,
Course,1,2018,30Q258,EES85,ENGLISH 11 1 OF 2,55, ,55,1,0,0,,,,,,,,,
Course,1,2018,30Q258,FSS61,SPANISH I  1 OF 2,55, ,55,1,0,0,,,,,,,,,
Course,1,2018,30Q258,HGS41,GLOBAL STUDIES 9 1 O,65, ,65,1,0,1,,,,,,,,,
Course,1,2018,30Q258,HGS42,GLOBAL STUDIES 9 2 O,65, ,65,1,0,1,,,,,,,,,
Course,1,2018,30Q258,MRS21,ALGEBRA 2 / TRIG 1 O,55, ,55,1,0,0,,,,,,,,,
Course,1,2018,30Q258,PPS85,PHYS ED,87, ,87,0.5,0,0.5,,,,,,,,,
Course,1,2018,30Q258,RQS41T,College and Career F,71, ,71,0.5,0,0.5,,,,,,,,,
Course,1,2018,30Q258,SLS21,LIVING ENV 1 OF 2,65, ,65,1,0,1,,,,,,,,,
Course,1,2018,30Q258,SLS21QL,LIVING ENV 1 LAB 1 O,P,*,,0,0,0,62.71428571,7,4,7,,,,,
Course,2,2017,30Q258,CHS22,Greek Theater II,73, ,73,0.5,0,0.5,,,,,,,,,
Course,2,2017,30Q258,EES86,ENGLISH 11 2 OF 2,55, ,55,1,0,0,,,,,,,,,
Course,2,2017,30Q258,HGS43,GLOBAL STUDIES 10 1 ,65, ,65,1,0,1,,,,,,,,,
Course,2,2017,30Q258,HGS44,GLOBAL STUDIES 10 2 ,65, ,65,1,0,1,,,,,,,,,
Course,2,2017,30Q258,MGS22,CC Geometry 2 of 2,65, ,65,1,0,1,,,,,,,,,
Course,2,2017,30Q258,PPS84,PHYS ED,85, ,85,0.5,0,0.5,,,,,,,,,
Course,2,2017,30Q258,RVS22T,Engineering in the W,84, ,84,1,0,1,,,,,,,,,
Course,2,2017,30Q258,SES22,EARTH SCIENCE 2 OF 2,NL,*,,1,0,0,,,,,,,,,
Course,2,2017,30Q258,SES22QL,EARTH SCIENCE LAB 2 ,NL,*,,0,0,0,68.83333333,7,5,6,,,,,
Exam  ,1,2019,30Q258,MXRCR ,CC ALGEBRA I REG JAN,50, ,50,0,0,0,,,,,,,,,
Exam  ,1,2019,30Q258,SXRKR ,LIVENVIR R JAN,56, ,56,0,0,0,,0,0,0,,,,,
Exam  ,2,2018,30Q258,EXRCE ,CC ELA REG JUN,84,*,84,0,0,0,,0,0,0,,,,,
Exam  ,2,2017,30Q258,HXRTE ,GLOBAL TRNS REG JUN,78,*,78,0,0,0,,,,,,,,,
