ID,Gender,MP1,MP2,MP3,MP4,Regents Score,Course,Race
215883950,F,97.8,91.87,87.65,87.65,67,geometry,Hispanic or Latinx
211421789,M,96.15,88.67,84.73,84.73,67,geometry,Hispanic or Latinx
213491731,F,61.67,55.42,63.65,63.65,67,alg2,Hispanic or Latinx
214526691,M,77.58,72.27,65.47,65.47,67,alg2,Hispanic or Latinx
217021260,M,68.67,69.29,68.87,68.87,67,alg2,Hispanic or Latinx
218733970,M,69.56,55.91,64.86,64.86,67,earth,Hispanic or Latinx
220512883,M,75.24,53.89,55.02,55.02,67,earth,Hispanic or Latinx
219928728,M,69.49,63.27,69.79,69.79,67,living,Hispanic or Latinx
219726635,M,79.53,74.56,72.24,72.24,67,living,
214526154,M,76.54,69.55,64.63,64.63,68,ush,
205969975,M,74.71,74.73,74.15,74.15,68,ush,Hispanic or Latinx
216128801,M,75.92,75.7,70.6,70.6,68,ush,Hispanic or Latinx
214502296,F,86.09,83.62,84.6,84.6,68,chemistry,Hispanic or Latinx
215390063,M,72.86,76.2,77.55,77.55,68,ela,Hispanic or Latinx
215867169,M,79.41,79.16,78.07,78.07,68,ela,Asian or Pacific Islander
214196024,F,78.75,82.35,75.55,75.55,68,physics,Hispanic or Latinx
217022615,F,77.83,68.82,70.84,70.84,68,alg1,Hispanic or Latinx
208652768,F,97.83,82.4,76.65,76.65,68,alg2,White
215338658,M,76.17,63.5,64.32,64.32,68,alg2,Hispanic or Latinx
220458244,F,75.47,76.34,79.56,79.56,68,living,
215439407,F,80.83,72.87,72.59,72.59,68,living,Hispanic or Latinx
220740989,F,71.27,63.98,69.96,69.96,68,living,Hispanic or Latinx
218509974,M,89.56,89.75,91.93,91.93,68,living,Asian
215313099,M,55.42,59.51,65.37,65.37,69,ush,Hispanic or Latinx
214485898,F,79.52,70.43,66.54,66.54,69,ush,Hispanic or Latinx
220115299,F,79.65,80.73,74.65,74.65,69,ush,White
215779943,F,92.82,94.64,90.32,90.32,69,chemistry,Black
215364704,M,66.76,69.6,72.01,72.01,69,global,Hispanic or Latinx
220348486,F,85.14,74.17,78.25,78.25,69,alg1,Hispanic or Latinx
222216806,M,78.75,66.08,69.08,69.08,69,alg1,Hispanic or Latinx
220083885,M,77.87,61.45,73.63,73.63,69,alg1,Hispanic or Latinx
216280271,M,84.41,78.89,68.1,68.1,69,alg1,Hispanic or Latinx
218733954,M,54.9,56.28,59.91,59.91,69,geometry,Hispanic or Latinx
238115612,F,61.25,69.93,71.37,71.37,69,geometry,
244846531,M,80.4,79.97,81.17,81.17,69,geometry,
215994971,M,92.6,89.97,83.48,83.48,69,geometry,Asian or Pacific Islander
217447986,M,78.42,68.63,75.07,75.07,69,earth,Hispanic or Latinx
216927640,M,55.85,54.61,59.62,59.64,69,earth,Asian
218861235,F,96.57,94.39,94.41,94.41,70,chemistry,Hispanic or Latinx
231452814,M,45,45.09,45.06,45.06,70,ela,Asian
216993816,M,73.02,74.62,70.04,70.04,70,ela,Hispanic or Latinx
216443549,F,79.36,77.14,74.72,74.72,70,ela,Black
209088772,F,81.51,83.04,78.21,78.21,70,ela,Hispanic or Latinx
215788936,M,68.12,65.43,68.76,68.76,70,global,Hispanic or Latinx
215994971,M,80.63,80.28,81.76,81.76,70,global,Asian or Pacific Islander
214817389,F,89.9,94.4,96.46,96.46,70,physics,Hispanic or Latinx
239594286,M,90,92.63,94.24,94.24,70,physics,Asian
227171097,M,,48.75,51.67,51.67,70,geometry,Hispanic or Latinx
221463706,F,98.65,97.27,88.7,88.7,70,geometry,White
216736470,M,84.5,79.07,76.28,76.28,70,geometry,White
231452814,M,81,69.17,64.93,64.93,70,geometry,Asian
217108653,F,99.6,98.57,97.05,97.05,70,geometry,Asian
206341604,M,88.85,79.63,82.48,82.48,70,geometry,Black
214381196,M,76.83,62.88,67.5,67.5,70,alg2,Hispanic or Latinx
208764845,M,81.17,65.21,67,67,70,alg2,White
216736363,F,67.5,58.96,66.48,66.48,70,alg2,Hispanic or Latinx
214196024,F,93.33,80.81,63.33,63.33,70,alg2,Hispanic or Latinx
214658411,M,64.3,54.69,54.87,54.87,70,earth,Hispanic or Latinx
214104770,M,79.55,73.19,66.85,66.97,70,earth,Hispanic or Latinx
215390063,M,82.29,75.06,69.44,69.4,70,earth,Hispanic or Latinx
237512231,M,71.63,68.44,71.87,71.87,70,living,White
215972167,M,83.2,86.73,88.83,88.83,71,physics,Hispanic or Latinx
220309694,M,86.33,82.27,69.04,69.04,71,alg1,Hispanic or Latinx
216878447,M,59.79,69.33,60.68,60.68,71,geometry,Hispanic or Latinx
218676237,M,62.4,70.07,67.25,67.25,71,geometry,
217192665,M,85.55,77.55,77.23,77.23,71,geometry,
244736369,M,75.5,75.23,76.8,76.8,71,geometry,Asian
216517144,M,88.7,79.4,73.23,73.23,71,geometry,Hispanic or Latinx
218605244,F,97,83.42,82.5,82.5,71,geometry,Hispanic or Latinx
218733970,M,68.5,63.23,65.5,65.5,71,geometry,Hispanic or Latinx
220736383,M,85.4,84.4,87.18,87.18,71,geometry,White
220430649,M,85.25,83.13,79.54,79.54,71,geometry,Hispanic or Latinx
214629081,F,94.17,90.66,92.65,92.65,71,alg2,White
215259300,M,99,85.62,71.65,71.65,71,alg2,Hispanic or Latinx
218658458,M,74.83,60.67,66.63,66.63,71,alg2,Asian or Pacific Islander
215297938,M,61.33,69.13,65.81,65.81,71,alg2,White
202994331,M,75.25,59.03,63.43,63.43,71,alg2,Asian
230133597,M,55.88,58.2,63.11,63.11,71,earth,Hispanic or Latinx
243991627,M,58.8,60.71,64.75,64.75,71,living,Asian
215010000,F,84.73,85.47,80.21,80.21,72,ush,Hispanic or Latinx
214583395,F,82.78,81.85,72.49,72.49,72,ush,Hispanic or Latinx
214435091,M,69.83,70.28,69.36,69.36,72,ush,Hispanic or Latinx
217108653,F,96.64,92.71,94.69,94.69,72,chemistry,Asian
218560118,F,99.22,99.61,99.48,99.48,72,chemistry,Asian
214207425,M,77.62,84.5,84.85,84.85,72,chemistry,White
216736470,M,67.62,71.54,71.41,71.41,72,ela,White
217021260,M,70.55,70.6,71.88,71.88,72,ela,Hispanic or Latinx
217192665,M,74.16,76.96,76.7,76.7,72,ela,
215883950,F,89.09,90.19,89.12,89.12,72,ela,Hispanic or Latinx
217021260,M,74.13,71.26,75.57,75.57,72,global,Hispanic or Latinx
216443549,F,78.97,80.96,82.23,82.23,72,global,Black
215297938,M,81.4,83.28,84.21,84.21,72,physics,White
209329465,M,96.6,97.2,90.57,90.57,72,physics,Asian or Pacific Islander
211584792,M,88.65,76.33,84.31,84.31,72,alg1,Hispanic or Latinx
220271563,M,88.68,70.66,79.27,79.27,72,alg1,Hispanic or Latinx
220458244,F,84.14,84.64,78.82,78.82,72,alg1,
220272256,M,91.35,83.19,77.01,77.01,72,alg1,Hispanic or Latinx
220230825,M,78.41,76.55,64.88,64.88,72,alg1,
220369540,M,87.19,89.87,78.14,78.14,72,alg1,Hispanic or Latinx
219743341,F,97.15,89.37,88.08,88.08,72,geometry,
208619569,M,88.25,78.57,80,80,72,geometry,Hispanic or Latinx
216091991,F,99.07,86.93,88.77,88.77,72,geometry,Hispanic or Latinx
219977907,M,76.56,75.95,70.02,70.02,72,geometry,
215316050,F,96.83,82.43,76.9,76.9,72,alg2,White
214207425,M,77.17,77.71,72.66,72.66,72,alg2,White
214452336,M,89.52,83.47,80.96,80.98,72,earth,Hispanic or Latinx
214232886,M,74.38,69.29,67.92,67.96,72,earth,Asian
215795931,M,80.41,81.61,80.81,80.81,72,living,Hispanic or Latinx
220083885,M,72.93,72.58,73.29,73.29,72,living,Hispanic or Latinx
219697349,M,58.83,57.15,67.09,67.09,72,living,Hispanic or Latinx
220154744,M,66,69.15,72.76,72.76,72,living,Hispanic or Latinx
220369540,M,71.46,77.74,80.93,80.93,72,living,Hispanic or Latinx
217453505,M,83.1,75.38,74.66,74.66,72,living,Hispanic or Latinx
215750696,F,73.29,72.26,74.01,74.01,73,ush,Hispanic or Latinx
214534026,M,76.1,74.2,72.71,72.71,73,ush,
215361429,M,95.57,93.42,92.78,92.78,73,chemistry,Hispanic or Latinx
238115612,F,77.75,77.94,80.05,80.05,73,global,
216993816,M,71.75,73.31,72.95,72.95,73,global,Hispanic or Latinx
214643397,M,73.67,71.12,71.41,71.41,73,global,Black
240039024,M,84.75,81.02,83.56,83.56,73,global,Hispanic or Latinx
209088772,F,79.16,80.2,80.26,80.26,73,global,Hispanic or Latinx
227171097,M,45,61.52,62.76,62.76,73,global,Hispanic or Latinx
215390063,M,74.84,75.87,71.65,71.65,73,global,Hispanic or Latinx
